"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2025","10.10","9.85","10.16","9.85","269.29K","2.33%"
"10/29/2025","9.87","9.90","9.93","9.82","248.73K","0.30%"
"10/28/2025","9.84","10.00","10.04","9.82","863.88K","-1.60%"
"10/27/2025","10.00","10.08","10.10","9.97","383.25K","-0.20%"
"10/24/2025","10.02","10.18","10.18","10.02","350.06K","-1.57%"
"10/23/2025","10.18","10.22","10.22","10.14","206.16K","-0.39%"
"10/22/2025","10.22","10.24","10.26","10.14","128.61K","-0.20%"
"10/21/2025","10.24","10.30","10.30","10.20","157.93K","-0.58%"
"10/20/2025","10.30","10.48","10.48","10.30","106.60K","-0.96%"
"10/17/2025","10.40","10.38","10.40","10.38","46.41K","0.19%"
"10/16/2025","10.38","10.40","10.44","10.38","196.91K","-0.19%"
"10/15/2025","10.40","10.52","10.52","10.40","136.83K","-0.95%"
"10/14/2025","10.50","10.50","10.54","10.40","664.20K","0.00%"
"10/13/2025","10.50","10.50","10.58","10.44","112.01K","-0.76%"
"10/10/2025","10.58","10.46","10.60","10.44","262.65K","1.15%"
"10/09/2025","10.46","10.56","10.64","10.40","363.80K","-1.13%"
"10/08/2025","10.58","10.52","10.64","10.40","751.54K","0.57%"
"10/07/2025","10.52","10.54","10.56","10.48","239.63K","0.00%"
"10/06/2025","10.52","10.60","10.62","10.52","176.34K","-0.75%"
"10/03/2025","10.60","10.70","10.70","10.60","55.12K","-0.93%"
"10/02/2025","10.70","10.64","10.76","10.62","292.03K","0.75%"
"10/01/2025","10.62","10.54","10.68","10.52","137.19K","0.95%"
"09/30/2025","10.52","10.64","10.64","10.44","196.06K","-0.94%"
"09/29/2025","10.62","10.58","10.70","10.58","118.81K","0.57%"
"09/26/2025","10.56","10.52","10.60","10.40","277.51K","0.57%"
"09/25/2025","10.50","10.42","10.58","10.40","197.27K","0.00%"
"09/24/2025","10.50","10.60","10.60","10.40","258.84K","0.00%"
"09/23/2025","10.50","10.32","10.64","10.32","919.67K","1.74%"
"09/22/2025","10.32","10.34","10.46","10.28","284.04K","0.19%"
"09/19/2025","10.30","10.50","10.74","10.30","2.05M","-0.96%"
"09/18/2025","10.40","10.24","10.54","10.20","1.24M","1.56%"
"09/17/2025","10.24","10.46","10.66","10.20","766.58K","-1.92%"
"09/16/2025","10.44","10.64","10.64","10.38","248.31K","-1.32%"
"09/15/2025","10.58","10.52","10.72","10.50","359.82K","0.57%"
"09/12/2025","10.52","10.62","10.62","10.42","490.33K","-0.94%"
"09/11/2025","10.62","10.80","10.90","10.62","747.29K","-1.48%"
"09/10/2025","10.78","10.86","10.86","10.72","186.33K","-0.74%"
"09/09/2025","10.86","10.82","10.94","10.80","143.85K","0.37%"
"09/08/2025","10.82","10.80","10.96","10.76","480.48K","0.19%"
"09/04/2025","10.80","10.96","11.04","10.80","392.64K","-1.10%"
"09/03/2025","10.92","11.08","11.30","10.92","416.76K","-0.55%"
"09/02/2025","10.98","11.12","11.20","10.80","1.08M","-1.08%"
"09/01/2025","11.10","11.30","11.30","11.08","188.52K","-1.77%"
"08/29/2025","11.30","11.42","11.42","11.22","131.13K","-1.05%"
"08/28/2025","11.42","11.56","11.58","11.30","223.03K","-1.55%"
"08/27/2025","11.60","11.54","11.60","11.42","368.59K","0.17%"
"08/26/2025","11.58","11.54","11.64","11.54","124.96K","0.17%"
"08/25/2025","11.56","11.72","11.72","11.54","157.34K","-0.86%"
"08/22/2025","11.66","11.72","11.72","11.66","85.16K","0.34%"
"08/21/2025","11.62","11.64","11.82","11.60","134.04K","-0.17%"
"08/20/2025","11.64","11.84","11.84","11.64","161.68K","-1.36%"
"08/19/2025","11.80","11.58","11.80","11.54","301.17K","1.72%"
"08/18/2025","11.60","11.64","11.74","11.52","124.33K","-0.17%"
"08/15/2025","11.62","11.76","11.80","11.60","253.88K","-0.68%"
"08/14/2025","11.70","11.80","11.90","11.70","1.78M","-0.85%"
"08/13/2025","11.80","11.80","11.88","11.78","234.42K","-0.17%"
"08/12/2025","11.82","11.96","11.96","11.78","411.31K","-0.51%"
"08/11/2025","11.88","11.98","11.98","11.84","515.31K","-0.17%"
"08/08/2025","11.90","12.04","12.04","11.88","314.27K","-1.65%"
"08/07/2025","12.10","12.10","12.18","12.00","63.43K","0.00%"
"08/06/2025","12.10","12.24","12.24","11.94","442.77K","-1.14%"
"08/05/2025","12.24","12.24","12.26","12.20","95.49K","0.00%"
"08/04/2025","12.24","12.36","12.36","12.22","314.32K","-0.97%"
"08/01/2025","12.36","12.44","12.60","12.30","1.10M","-0.64%"
"07/31/2025","12.44","12.30","12.50","12.30","1.06M","1.14%"
"07/30/2025","12.30","12.20","12.32","12.20","747.25K","0.99%"
"07/29/2025","12.18","12.06","12.26","12.02","1.09M","1.33%"
"07/28/2025","12.02","12.08","12.12","12.00","1.31M","-0.50%"
"07/25/2025","12.08","12.12","12.12","12.02","184.09K","-0.33%"
"07/24/2025","12.12","12.08","12.12","12.00","266.82K","0.33%"
"07/23/2025","12.08","11.90","12.10","11.90","245.22K","1.68%"
"07/22/2025","11.88","12.04","12.04","10.86","969.38K","-1.33%"
"07/21/2025","12.04","12.20","12.20","12.00","336.27K","-1.15%"
"07/18/2025","12.18","12.20","12.20","12.00","670.75K","-0.16%"
"07/17/2025","12.20","12.20","12.22","12.08","423.48K","0.00%"
"07/16/2025","12.20","12.26","12.46","12.14","616.20K","-0.49%"
"07/15/2025","12.26","12.20","12.28","12.20","253.70K","0.00%"
"07/14/2025","12.26","12.16","12.30","12.12","343.34K","0.82%"
"07/11/2025","12.16","12.26","12.28","12.12","376.02K","-0.82%"
"07/10/2025","12.26","12.08","12.32","12.08","427.70K","1.16%"
"07/09/2025","12.12","12.04","12.16","11.98","322.43K","-0.16%"
